
==================== AREA: Sociabilidad ====================

--- Manada ---
ID: e6645d74-6f5c-4151-b036-d52b621a101f | 11 a 13 años | Participo en las actividades de servicio que organiza mi patrulla.
ID: b98c1bb4-08e3-4310-bda4-793552993138 | 13 a 15 años | Realizo una buena acción cada día.
ID: b8c315db-582b-49f2-92f9-44c489813986 | 13 a 15 años | Me gusta participar en actividades que ayudan a superar las diferencias sociales.
ID: 66ae3385-8256-4450-a1fa-861ee5eaddd7 | 13 a 15 años | Aprecio la cultura de mi país y me identifico con ella.
ID: d335c612-4228-482b-af22-28c33f889e01 | 11 a 13 años | Conozco los principales símbolos, tanto del Movimiento Guía como del Movimiento Scout.
ID: e0dfc43c-5ec4-4c4d-a4c5-27325f947fbf | 11 a 13 años | Conozco las principales culturas originarias de América.
ID: 1d2a2643-ce30-4838-b0d3-3252c0857006 | 13 a 15 años | Conozco el Movimiento Guía y Scout de mi país.
ID: 8edcfb3c-29b9-4559-ba0c-2565e4d186f3 | 13 a 15 años | Me intereso en conocer en detalle una cultura originaria de América.
ID: 658630b7-58fa-4ea9-8285-35ded35e3688 | 11 a 13 años | Conozco los diferentes ecosistemas de mi país.
ID: 6f041425-5479-45ee-9855-3c02fc79525a | 13 a 15 años | Aplico técnicas que me permiten mejorar el medioambiente y no dañar los lugares en que acampo.
ID: a34ccaa1-751c-43eb-adac-d837fa3e739c | 13 a 15 años | Sé cuáles son los principales problemas ambientales de mi país.

--- Avanzada ---
ID: 5abfbe81-75e4-4444-b52d-38e59e8b6ec7 | 15 a 17 años | Estoy siempre disponible para ayudar a los demás, incluso cuando se trata de tareas pesadas o poco agradables.
ID: bf199285-12a9-422e-b97a-2fe99f326809 | 15 a 17 años | Valoro la democracia como sistema de generación de la autoridad.
ID: 810efaf9-df8b-434e-9f6f-838a6e9e2a83 | 15 a 17 años | Respeto la autoridad válidamente elegida, aunque no comparta sus ideas.
ID: 6d98798f-014d-4bb3-940f-b0c038c6dbbb | 15 a 17 años | Cuando me corresponde ejercer autoridad lo hago sin autoritarismo ni abusos.
ID: f1496221-0da5-4775-b3ba-29e65603cfee | 15 a 17 años | Acepto las normas de los diferentes ambientes en que actúo, sin renunciar a mi derecho de tratar de cambiarlas cuando no me parecen correctas.
ID: ca4b2a5d-a921-4485-a452-ccbf5db59fbc | 15 a 17 años | Me esfuerzo por orientar creativamente mis actitudes de rebeldía y oposición.
ID: 7064c110-0fce-4a48-bf5b-340538cfb926 | 15 a 17 años | Participo en las actividades de servicio que se desarrollan en mi colegio o trabajo.
ID: 95546855-37cf-48db-b6ad-eeab1ae8c614 | 15 a 17 años | Valoro críticamente las ideologías y posiciones políticas existentes en mi país.
ID: c07a9c41-d867-4ac1-af49-d315453cf61f | 15 a 17 años | Aprecio críticamente los elementos, cambios y metas de mi cultura.
ID: 59fb6967-0c2f-4ec5-84f1-196222b90692 | 15 a 17 años | Expreso mi afecto por los valores de mi cultura a través de alguna de mis habilidades artísticas.
ID: 81e94072-5a28-4c4b-986f-9baed77721b2 | 15 a 17 años | Conozco de un modo general el Movimiento en América.
ID: 2e2aba4b-1925-4107-8952-5218881fc1bc | 15 a 17 años | Participo en actividades y proyectos que ayudan a la comprensión entre los países de América.
ID: f18e6014-6b70-45e8-b9c9-fc57cd637b3c | 15 a 17 años | Valoro las distintas formas en que se expresa la cultura.
ID: c3387367-af13-4910-9d13-002a08f93627 | 15 a 17 años | Desarrollo proyectos de conservación en conjunto con jóvenes que no son guías o scouts.
ID: 007591fb-a2b6-4fb5-9286-acde65455f53 | 15 a 17 años | Creo que todas las personas somos iguales en dignidad y eso marca mis relaciones con los demás.
ID: 97b83994-e34f-4a8d-89b5-9899995b3a04 | 15 a 17 años | Asumo una posición activa frente a los atropellos a las personas que observo en mi vida cotidiana.
ID: db847997-0666-4704-98b6-9b2c77b20726 | 15 a 17 años | Acepto las decisiones de mis padres y les expreso con respeto mis diferencias.
ID: 3fd19eb4-737c-43c5-9ea8-5e5307ce0309 | 15 a 17 años | Comprendo que las normas sociales permiten el desarrollo de mi libertad respetando la libertad de los demás.
ID: 5d43ab14-8bc5-4188-b966-c7229ad236d8 | 15 a 17 años | Conozco las principales organizaciones sociales y de servicio de mi comunidad local en las que puedo ayudar.
ID: 6ad49405-62ca-4a55-9d9e-78f1a48337d7 | 15 a 17 años | Participo activamente en las campañas de servicio y desarrollo de la comunidad que organiza mi Grupo o mi Asociación.
ID: 3582b3bd-17bf-4262-a60b-6bd2e534e111 | 15 a 17 años | Me comprometo por distintos medios con la superación de las diferencias sociales.
ID: 9e05cede-e22e-47db-88db-b10dd77cb9ec | 15 a 17 años | Conozco historias, leyendas, danzas, canciones, mitos, artesanías y otras expresiones de la herencia artística de mi cultura.
ID: 83c0d653-beae-44c5-b76d-577e2d18920a | 15 a 17 años | Participo, en la medida de lo posible, en eventos internacionales o nacionales en que puedo conocer a guías y scouts de otros países.
ID: 7e7417a5-a16e-4ff3-843f-93e711d017d4 | 15 a 17 años | Aplico en campamentos o proyectos específicos tecnologías que preservan o mejoran el medio ambiente.
ID: d744cb60-173d-427e-ba5e-94f1ac492cb0 | 15 a 17 años | Puedo fundamentar mis opiniones sobre los problemas que considero más urgentes en la conservación del medio ambiente de mi comunidad local.

--- Clan ---
ID: 90b668d6-3e32-4544-ac2a-7f1348b4f37f | 17 a 20 años | Reconoce y respeta la autoridad válidamente establecida y la ejerce al servicio de los demás.
ID: b5954f1c-4d0d-4bdb-97d8-821583beb77e | 17 a 20 años | Cumple las normas que la sociedad se ha dado, evaluándolas con responsabilidad y sin renunciar a cambiarlas.
ID: 3c89c7ee-5827-4002-9c1d-76bd26bae6fa | 17 a 20 años | Hace suyos los valores de su país, su pueblo y su cultura.
ID: 5d199d2b-a65d-4195-8915-5f8dab0450de | 17 a 20 años | Promueve la cooperación internacional, la hermandad mundial y el encuentro de los pueblos, luchando por la comprensión y la paz.
ID: b5a81328-5c07-41bd-a1ea-1ed401762841 | 17 a 20 años | Vive su libertad de un modo solidario, ejerciendo sus derechos, cumpliendo sus obligaciones y defendiendo igual derecho para los demás.
ID: f47192a7-6d68-4a3a-9847-8d1c29f7ba49 | 17 a 20 años | Sirve activamente en su comunidad local, contribuyendo a crear una sociedad justa, participativa y fraterna.
ID: c4f78e61-6790-4cf4-b477-993900b5bf02 | 17 a 20 años | Contribuye a preservar la vida a través de la conservación de la integridad del mundo natural.

==================== AREA: Afectividad ====================

--- Manada ---
ID: 66de9e77-aa53-48a1-98db-9de3d3958486 | Infancia Tardía | Puedo hablar con los demás de las cosas que me ponen alegre y también de las que me ponen triste.
ID: c8993915-0234-464c-934e-2a09f8c4338e | Infancia Tardía | Digo lo que pienso sin ofender o insultar a mis compañeros ni burlarme de ellos.
ID: 054680a5-f07a-4771-8d7a-811a5db8f505 | Infancia Media | Acepto separarme de mi familia cuando voy de campamento con la Manada.
ID: 6e25f6ed-277c-41b4-9d0f-322b0a2d4c94 | Infancia Media | Acepto las opiniones de mis compañeros, aunque yo piense distinto.
ID: 36b44b5b-601f-4d7f-a510-8266479c9da1 | Infancia Media | Me gusta tener nuevos amigos y amigas.
ID: a955b97f-7e94-4772-b1a8-878fa8b31ec1 | Infancia Media | Ayudo a los nuevos lobatos para que se sientan contentos en la Manada.
ID: 05df5772-eea5-43e9-8aa5-2d777ada0402 | Infancia Tardía | Acepto cuando en la Manada me dicen que no hice algo bien, aunque no siempre esté de acuerdo.
ID: b8e24cea-86b8-4908-90cc-9ad5e7beb463 | Infancia Tardía | Pienso bien lo que voy a hacer antes de hacerlo.
ID: 9f8cdd1f-20d5-47f8-92c2-a660693c348f | Infancia Tardía | Soy cada vez más amigo de mis amigos y amigas, pero igual aprecio a mis demás compañeros.
ID: b658a9a2-c0fb-4aec-b862-528eb90e07d1 | Infancia Tardía | Comparto con todos mis compañeros, sin importarme su raza, en qué trabajan sus papás, o si tienen o no dinero.
ID: e4d2c4e4-983e-4b35-96cd-75d43e2b7c1c | Infancia Media | Juego y hago actividades por igual con niños y niñas.
ID: d72cc3b0-e3a4-412f-a1d7-500eda367b33 | Infancia Tardía | Trato con igual justicia y de la misma manera a mis compañeras y a mis compañeros.
ID: a2c1bf0b-e34b-42e5-a9b1-d6474c4912e2 | Infancia Media | Soy cariñoso con mis papás y demás familiares.
ID: 917b35da-9406-40a3-b5db-c16fcea35699 | Infancia Tardía | Le cuento a mi familia las cosas que hacemos en la Manada.
ID: 80102a2d-bc83-41fc-85ab-d98b42dbca76 | Infancia Media | Trato de no esconder mis alegrías, mis penas, las cosas que me gustan y las que me dan miedo.
ID: ab6e594f-b0a0-4e6d-96aa-7779299b02ef | Infancia Media | Trato con cariño a los demás en la Manada y me gusta que me traten igual.
ID: b39109f4-260d-46e2-9192-2db4de116b1b | Infancia Media | Converso y comparto con todas las personas.
ID: 5227552d-304d-4199-bcc0-b366ca081a4d | Infancia Tardía | Estoy siempre dispuesto a ayudar a los demás.
ID: 6f3547e4-e456-41e0-8de8-6f60e12891b9 | Infancia Media | Conozco las diferencias físicas entre el hombre y la mujer y no me burlo de eso.
ID: 491af933-4736-4c07-9b26-e3f6a42fac20 | Infancia Media | Le pregunto a mis papás cada vez que no sé algo sobre temas de sexuales y escucho con atención sus respuestas.
ID: 58ade12f-15d1-4f46-b989-63392c538f02 | Infancia Tardía | Sé cómo una mujer queda embarazada, cómo nacen los bebés y qué hacen el hombre y la mujer en esos procesos naturales.
ID: 7ff0c343-64ea-4668-bdd1-c44e53581bdb | Infancia Media | Soy cariñoso con mis hermanos, hago cosas con ellos y trato de no pelear.
ID: c7f99a9b-0b82-4d4f-9018-09bbed370a45 | Infancia Tardía | Comparto con la familia de mis amigos e invito a que compartan con la mía.

--- Tropa ---
ID: 28433366-23af-4d9a-a8c6-fbca64ef0c95 | 13 a 15 años | Estoy siempre dispuesto a ayudar a mis compañeros de patrulla.
